,gare,lat,lon,max
1,Roissy-CDG 2,49,2.57,1
2,Agde,43.32,3.47,1
3,Agen,44.2,0.62,1
4,Aime - La Plagne,45.55,6.65,1
5,Aix-en-Provence,43.45,5.32,1
6,Aix-les-Bains,45.68,5.9,1
7,Albertville,45.67,6.38,1
8,Ancenis,47.37,-1.17,1
9,Angers,47.47,-0.55,1
10,Angoulême,45.65,0.17,1
11,Annecy,45.9,6.12,1
12,Annemasse,46.2,6.23,1
13,Antibes,43.58,7.12,1
14,Arcachon,44.67,-1.17,1
15,Les Arcs - Draguignan,43.45,6.48,0
16,Arles,43.68,4.63,1
17,Arras,50.28,2.78,1
18,Auray,47.67,-3,1
19,Avignon-Centre,43.93,4.8,1
20,Avignon,43.92,4.78,1
21,Bar-le-Duc,48.77,5.17,1
22,Bayonne,43.5,-1.47,1
23,Beaune,47.02,4.85,1
24,Belfort - Montbéliard,47.58,6.9,1
25,Bellegarde,46.1,5.82,1
26,Besançon-Viotte,47.23,6.02,0
27,Besançon,47.3,5.95,1
28,Béthune,50.52,2.63,1
29,Béziers,43.33,3.22,1
30,Biarritz,43.45,-1.53,1
31,Bordeaux,44.82,-0.55,1
32,Boulogne-Ville,50.72,1.6,1
33,Bourg-en-Bresse,46.2,5.22,1
34,Bourg-Saint-Maurice,45.62,6.77,1
35,Brest,48.38,-4.48,1
36,Calais - Fréthun,50.9,1.8,1
37,Calais,50.95,1.85,1
38,Cannes,43.55,7.02,1
39,Carcassonne,43.22,2.35,1
40,Chalon-sur-Saône,46.78,4.83,1
41,Châlons-en-Champagne,48.95,4.35,1
42,Chambéry,45.57,5.92,1
43,Champagne-Ardenne,49.22,3.98,0
44,Charleville-Mézières,49.77,4.72,1
45,Châtellerault,46.82,0.55,1
46,Cluses,46.05,6.58,1
47,Colmar,48.07,7.33,1
48,Le Creusot,46.77,4.5,1
49,Le Croisic,47.28,-2.5,0
50,Croix - Wasquehal,50.67,3.13,0
51,Dax,43.72,-1.05,1
52,Dijon,47.32,5.02,1
53,Dol-de-Bretagne,48.53,-1.75,1
54,Dole,47.08,5.48,1
55,Douai,50.37,3.08,1
56,Dunkerque,51.03,2.37,1
57,Épinal,48.17,6.43,1
58,Étaples - Le Touquet,50.52,1.63,1
59,Évian-les-Bains,46.4,6.57,1
60,Facture-Biganos,44.63,-0.97,1
61,Forbach,49.18,6.9,0
62,Frasne,46.85,6.15,0
63,Le Futuroscope,46.67,0.37,0
64,Grenoble,45.18,5.72,1
65,Guingamp,48.55,-3.13,1
66,Hazebrouck,50.72,2.53,1
67,Hendaye,43.35,-1.78,1
68,Hyères,43.1,6.12,1
69,La Baule-Escoublac,47.28,-2.38,1
70,Lamballe,48.47,-2.5,1
71,Landerneau,48.45,-4.25,0
72,Landry,45.57,6.73,1
73,Lannion,48.72,-3.45,1
74,Laval,48.07,-0.75,1
75,Le Havre,49.48,0.12,1
76,Lens,50.42,2.82,1
77,Libourne,44.92,-0.23,1
78,Lille-Europe,50.63,3.07,1
79,Lille,50.63,3.07,0
80,Lorraine,48.95,6.17,1
81,Lorient,47.75,-3.37,1
82,Lourdes,43.1,-0.03,1
83,Lunéville,48.58,6.5,1
84,Lyon-Part-Dieu,45.75,4.85,1
85,Lyon,45.75,4.82,0
86,Lyon-Saint-Exupéry,45.72,5.07,1
87,Mâcon-Loché,46.28,4.77,1
88,Mâcon,46.3,4.82,0
